Id,Name,Symbol,Description,Rank,Price Usd,Price Btc,24h Volume Usd,Market Cap Usd,Available Supply,Total Supply,Percent Change 1h,Percent Change 24h,Percent Change 7d,Last Updated
credo,Credo,CREDO,,164,0.0299638,0.00000522,16461.7,16476845,549891703,1374729257,8.46,0.67,-4.49,1509199463
monetha,Monetha,MTH,,165,0.0758768,0.00001322,313911,16451595,216819832,402400000,2.7,8.43,-6.24,1509199463
mothership,Mothership,MSP,,166,0.117335,0.00002044,67530,16426900,140000000,200000000,-0.32,-1.25,10.49,1509199461
paypie,PayPie,PPP,,167,0.19907,0.00003467,45323.4,16423275,82500000,165000000,1.08,1.49,-4.48,1509199464
aventus,Aventus,AVT,,168,2.69982,0.00047022,340845,16198920,6000000,10000000,1.08,2.2,-10.62,1509199463
namecoin,Namecoin,NMC,,169,1.09313,0.00019039,53334.9,16108801,14736400,14736400,-1.25,0.18,-9.83,1509199440
kickico,KickCoin,KICK,,170,0.0492361,0.00000858,144571,15811572,321137782,457760868,0.6,-0.57,-15.28,1509199464
numeraire,Numeraire,NMR,,171,12.1439,0.00211506,131827,15163690,1248667,2248667,2.72,5.37,-5.4,1509199459
energycoin,Energycoin,ENRG,,172,0.124794,0.00002173,14039.3,15142368,121338907,121338907,0.74,2.33,-21.3,1509199444
pepe-cash,Pepe Cash,PEPECASH,,173,0.0211867,0.00000369,11094.7,14870606,701884009,701884009,0.53,0.4,-3.94,1509199452
okcash,OKCash,OK,,174,0.202766,0.00003531,355992,14821757,73097842,73097842,0.87,1.55,13.36,1509199450
raiblocks,RaiBlocks,XRB,,175,0.109363,0.00001905,103215,14572433,133248290,340282367,1.38,-1.45,-5.4,1509199455
expanse,Expanse,EXP,,176,1.82399,0.00031768,143522,14421188,7906397,16906397,2.34,5.73,8.65,1509199447
chronobank,Chronobank,TIME,,177,20.3074,0.00353686,574437,14420545,710113,710113,0.44,3.17,3.03,1509199455
agrello-delta,Agrello,DLT,,178,0.167225,0.00002912,14429.9,14377817,85978873,130271020,0.61,8.72,-4.19,1509199462
einsteinium,Einsteinium,EMC2,,179,0.0666468,0.00001161,315686,14352530,215352120,215352120,0.18,-4.61,-9.16,1509199443
guppy,Matchpool,GUP,,180,0.191339,0.00003332,3519460,14350425,75000000,98855150,-3.02,35.65,57.94,1509199456
asch,Asch,XAS,,181,0.697553,0.00012149,149528,14181672,20330601,110974507,2.73,3.13,95.42,1509199457
hive,Hive,HVN,,182,0.0375171,0.00000653,326488,14068913,375000000,500000000,1.5,-8.5,24.55,1509199463
feathercoin,Feathercoin,FTC,,183,0.0775819,0.00001351,560801,13955082,179875480,179875480,16.23,58.45,98.14,1509199440
monetaryunit,MonetaryUnit,MUE,,184,0.109728,0.00001911,107922,13948407,127118030,127118030,1.14,-2.19,6.8,1509199445
gridcoin,GridCoin,GRC,,185,0.035562,0.00000619,35206.7,13880302,390312753,390312753,1.54,1.47,5.37,1509199446
blocktix,Blocktix,TIX,,186,0.346778,0.0000604,1972830,13871120,40000000,62500000,0.57,-13.16,159.5,1509199463
library-credit,LBRY Credits,LBC,,187,0.132513,0.00002308,269083,13833687,104394945,497980286,-1.28,-1.54,-4.05,1509199450
blackcoin,BlackCoin,BLK,,188,0.178536,0.00003109,113283,13650079,76455613,76455613,0.62,0,4.97,1509199442
omni,Omni,OMNI,,189,23.6964,0.00412711,591886,13270153,560007,616323,-0.28,7.64,8.08,1509199441
agoras-tokens,Agoras Tokens,AGRS,,190,0.315791,0.000055,40846.5,13263222,42000000,42000000,-3.64,-7.13,-5.98,1509199447
toacoin,ToaCoin,TOA,,191,0.00761252,0.00000133,89151.9,13120435,1723533763,8872333437,0.15,1.39,-1.07,1509199461
stox,Stox,STX,,192,0.441226,0.00007685,437953,13060290,29600000,58834617,0.46,-0.26,-8.14,1509199461
shift,Shift,SHIFT,,193,1.13906,0.00019839,113280,12916984,11340039,11340039,0.08,6.73,26.48,1509199447
florincoin,FlorinCoin,FLO,,194,0.0926137,0.00001613,244617,12905668,139349448,139349448,0.51,-2.03,18.26,1509199445
maecenas,Maecenas,ART,,195,0.42391,0.00007383,2233.69,12780950,30150150,100000000,0.35,2.3,32.86,1509199465
